run_id,escenario,replica,dia,tipo_recurso,ubicacion,capacidad_nominal,reservada,consumida,liberada,ocupada,libre,cola
E-00-R0,E-00,0,1,POSICION_CONSOLIDACION,PLANTA_NORTE,8,1,2,2,2,6,0
E-00-R0,E-00,0,2,POSICION_CONSOLIDACION,PLANTA_NORTE,8,5,6,6,6,2,0
E-00-R0,E-00,0,3,POSICION_CONSOLIDACION,PLANTA_NORTE,8,4,5,5,5,3,0
E-00-R0,E-00,0,4,POSICION_CONSOLIDACION,PLANTA_NORTE,8,2,3,3,3,5,0
E-00-R0,E-00,0,5,POSICION_CONSOLIDACION,PLANTA_NORTE,8,0,1,1,1,7,0
E-00-R0,E-00,0,1,POSICION_CONSOLIDACION,DEPOSITO_SUR,6,0,1,1,1,5,0
E-00-R0,E-00,0,2,POSICION_CONSOLIDACION,DEPOSITO_SUR,6,2,3,3,3,3,0
E-00-R0,E-00,0,3,POSICION_CONSOLIDACION,DEPOSITO_SUR,6,5,6,6,6,0,2
E-00-R0,E-00,0,4,POSICION_CONSOLIDACION,DEPOSITO_SUR,6,5,6,6,6,0,1
E-00-R0,E-00,0,5,POSICION_CONSOLIDACION,DEPOSITO_SUR,6,1,2,2,2,4,0
E-00-R0,E-00,0,1,PORTACONTENEDOR,RED,10,2,3,3,3,7,0
E-00-R0,E-00,0,2,PORTACONTENEDOR,RED,10,6,7,7,7,3,1
E-00-R0,E-00,0,3,PORTACONTENEDOR,RED,10,8,9,9,9,1,3
E-00-R0,E-00,0,4,PORTACONTENEDOR,RED,10,7,8,8,8,2,2
E-00-R0,E-00,0,5,PORTACONTENEDOR,RED,10,3,4,4,4,6,0
